company_id,stage_path
0000000017,D
0000000048,B
0000002867,C1
0000002927,C2 → B
0000003291,A
0000003576,B
0000003786,A
0000004116,E
0000004899,B → C2 → B → A → C1 → A → C1 → B → C1 → E → A
0000005162,A → B
0000005797,B → A → B
0000006085,C1
0000006178,C2
0000006244,A → B → A
0000008966,C1
0000011168,C1 → A → C1 → A → B
0000011479,C1
0000012921,A
0000013030,C2
0000015941,B
0000016450,C2
0000017426,A → B → C1 → A → C1
0000020338,C1
0000021586,B
0000023067,C1
0000026842,B
0000029323,B → C1
0000029385,A
0000029391,C1 → A → E → B → A → C1
0000029412,A → B → A → C1
0000029455,A
0000029482,D
0000029701,C1 → D → A → B
0000030406,B → A
0000031644,A
0000032181,E → B → C1
0000034065,C1 → D
0000034181,A
0000034848,B
0000034955,C1
0000039245,E → A → B → C1 → B
0000039398,A
0000039882,B
0000041354,A
0000042790,C1
0000043601,C1
0000045241,C1
0000046498,C1 → A
0000047498,C1 → A → B → A → C2
0000047621,C1
0000047795,B
0000048068,B → A
0000048659,B
0000048677,C1
0000048882,B
0000049649,E → B → C1 → A → B → C1
0000051032,B
0000052888,B → C2
0000053002,C1
0000053479,C1
0000054630,E → C1
0000054951,A
0000055184,D → C1
0000057515,C1
0000058319,B
0000060089,A
0000060902,C2 → B → C1 → B
0000062535,C1 → D
0000062829,A → B
0000062952,C1
0000063359,C1 → A
0000063689,B → A
0000063725,B
0000063728,A → C1
0000063744,B → C1
0000063767,C1 → A → B → A → B → A
0000063973,C2
0000064127,C1 → A
0000064199,B → C1 → B → C1 → E
0000064340,B
0000064466,B → A
0000064661,A
0000064812,B → C1 → B
0000064869,A
0000064927,A → B
0000065080,A → B
0000065340,A
0000065802,A
0000066147,B
0000066198,B → C1 → A → C1 → A
0000066213,C1
0000066456,C1
0000066484,C2
0000066570,B
0000066586,B
0000066691,A → C1
0000066765,A → B
0000066960,C1
0000067168,D
0000067363,E
0000067397,C1
0000067632,C2 → C1 → D
0000067637,A → D → C1 → B → C1 → B → D → B → A
0000067770,A
0000068132,A → C1
0000068366,C1 → D → C1
0000068411,D
0000068484,C1
0000068562,C2 → B
0000068769,C1
0000069180,E → A
0000069283,A → D → B
0000069366,C1 → B
0000069380,A
0000069584,C1
0000069714,B → C1
0000069786,B
0000069896,C1 → A
0000070344,B
0000070575,C1
0000070718,C2 → D
0000071126,A
0000071147,B → D → C2
0000071546,C1
0000071864,A → C1 → B → C1 → B → D
0000072203,C1 → B → C1
0000072224,A
0000072321,B → C1 → A → C1 → A
0000072610,A
0000072878,A
0000072970,A
0000073032,C2 → A → C1
0000073196,C2 → A
0000073223,A
0000073350,C2 → C1
0000073500,B
0000073769,C1
0000075055,D
0000075132,C1 → A
0000075228,B
0000075329,B
0000075431,B
0000076011,B → C2
0000076392,C1
0000076741,A
0000078103,A → D → B
0000078253,C1
0000078382,C1 → A
0000078950,C1
0000080307,C1 → B
0000080906,D
0000081822,C1
0000081830,C1
0000082577,C1
0000082687,C1
0000082956,C1
0000083323,C1 → C2 → C1 → A → C1
0000085051,B → C1 → B
0000085528,A
0000085827,A
0000087093,C1 → A
0000087252,A
0000088203,A
0000090703,B → D → B → C1
0000090861,D
0000091166,B
0000091321,A → C1
0000091343,B
0000091536,B → A
0000091763,C2
0000091796,B
0000092004,C1
0000092334,B
0000093087,B → A
0000093491,C1 → A
0000094163,C1
0000094197,C1 → A
0000094849,A → B
0000094857,C1
0000094969,B → C1
0000095000,A
0000095379,C1 → B → C1
0000095442,B
0000095506,C1 → B → C1
0000095903,C1 → D → C1
0000096048,A
0000096057,C1 → A → C1 → B → A
0000096181,B
0000096251,A → B → A → E → C1
0000096281,C1 → D
0000096312,A
0000096610,D
0000096898,A
0000097210,E
0000097326,B
0000097894,C1
0000098093,C1
0000098589,B
0000098609,A
0000098631,C1
0000098679,C1
0000098773,A → C1
0000098791,B → C2
0000098845,A
0000098849,B
0000098959,A
0000098962,A
0000099248,B
0000099446,C1
0000099523,A
0000099527,A
0000099637,B → A
0000099785,C1
0000099932,B
0000100111,A → D
0000100527,C1 → A → C1 → A
0000100593,A
0000100612,A
0000100731,B → C1
0000100796,C1 → B → A → B → C1
0000100902,C1
0000100903,E
0000101090,A → C1
0000101101,A
0000101131,E → A → D
0000101305,C1 → A → B → D → A → D → A
0000101306,A
0000101310,C1 → A → B → C2 → B → C1
0000101324,C1 → A → B → C1
0000101332,A → E
0000101336,C1 → A → E → A
0000101337,C1 → D → B
0000101338,C1
0000101341,A → C1 → A → B → A → C1 → B → C1 → B → A → B → A → C1 → B
0000101353,C1 → A → B → A → B → A → B → A
0000101383,C1
0000101385,B
0000101428,B → C1 → B
0000101471,B
0000101489,B → A
0000101491,C1
0000101497,A → B
0000101529,B → A → B → C1 → A
0000101532,B → C1
0000101544,A
0000101553,E
0000101612,C1
0000101632,A
0000101651,C1
0000101683,E
0000101694,E → C1
0000101756,B
0000101772,D
0000101871,C1
0000101946,D → A
0000101997,B
0000102279,A → B → A
0000102472,A → B
0000102618,E → B
0000102846,C1
0000103379,A
0000103387,E
0000103549,D
0000103761,A
0000103800,C1
0000103922,A → E
0000104146,C2
0000104324,B → A → B → C1
0000104431,B → A → C1 → B → C2 → D
0000104608,A → C1
0000104661,C1
0000104863,B
0000104894,A
0000104904,C1
0000104917,C1
0000104987,C1 → E → A
0000104992,A
0000105292,A → C1 → B
0000105330,A
0000105525,D
0000105769,C1 → B
0000105773,C1
0000105814,C1 → A
0000105823,B
0000106333,B
0000106541,A
0000107206,C1
0000107254,B
0000108999,B → A → C2
0000109108,D → B
0000109118,B
0000109212,C1
0000109225,C2
0000109673,E
0000109735,C1 → A → B
0000109759,B → A → B
0000110205,C1
0000110306,B
0000110533,C1
0000111019,A
0000111395,C1
0000111433,A → B → A
0000111629,B
0000111675,B
0000111856,B
0000111868,B → A → C2 → C1
0000111962,C1
0000112066,C1 → B → A
0000112087,B → A
0000112514,A
0000112537,A → B
0000112720,C1
0000112792,A
0000112894,B
0000112959,A
0000113092,B → C1
0000113311,A
0000113372,C1
0000113660,C1
0000113848,B → A
0000114040,B
0000114638,C1 → B → C1 → C2 → B → C1
0000114691,C1
0000115002,C1
0000115055,C1
0000115082,A → C1 → B → A
0000115771,C1 → B → E → C1 → B → D → A → C1 → A → B → C1 → C2 → B → C2
0000116189,B
0000116500,C1 → E
0000116700,A
0000116811,A → C1 → A → B → C1 → A → C1
0000118219,B
0000120241,C1 → B → A → B → A → B → A
0000120829,B
0000122551,A
0000122906,A
0000122962,C1
0000122997,C1 → A → B
0000123176,A → C1
0000123189,A → C1
0000123195,A → C1 → E → A → C1
0000123312,C1
0000123373,C1 → B
0000123396,B
0000123684,D
0000123980,A → C1 → A
0000124060,B → C1 → B → C1 → B
0000124173,A
0000124187,C1 → A
0000124211,B → C1 → E → B
0000124224,B → C1
0000124261,B → C1 → D → A → C1 → A → B
0000124279,B → C1
0000124323,C1 → B → C1 → D → B
0000124353,C1
0000124442,A → C1 → D → C2 → C1 → B
0000124476,C1 → A → C1 → B → A
0000124497,E → C1 → C2
0000124651,B
0000124721,B
0000124910,C1
0000124920,B → E → B → C1 → A
0000124959,C2 → C1 → A → C1
0000125032,A → B → D → C1 → B → A → B → D → A → D → C1 → A → C1 → A
0000125070,C1 → D
0000125074,C1 → A
0000125093,C1
0000125296,B
0000125319,E → C1
0000125476,A
0000125576,C1
0000125583,C1 → E → B → A → E
0000125608,B → A → B
0000125634,B
0000125655,C1 → B → C1 → A → B → A
0000125662,C1 → D
0000125713,C1
0000125730,A
0000125742,C1
0000125746,D
0000125754,B
0000125764,B
0000125770,B → C1
0000125808,B
0000125815,B
0000125819,C1
0000125838,B → C2
0000125866,A
0000125868,C1
0000125876,A
0000125896,D → C1 → A
0000125899,C1 → B → C1
0000125902,A
0000125904,B
0000125912,A → C1
0000125915,A
0000125917,A → C1
0000125919,C1 → E → C1
0000125980,C1 → E → C1 → A → B
0000126015,C2 → C1
0000126019,A
0000126027,C1 → C2
0000126042,C1
0000126046,C1
0000126073,C1 → B → A → C2
0000126074,A
0000126079,C1 → B → C1
0000126093,B
0000126099,A
0000126100,A
0000126109,C1 → B
0000126137,E
0000126173,B
0000126180,A
0000126186,B → C2 → C1
0000126190,C2 → C1 → A → E → A → C1 → A → C1 → B → C1
0000126198,B
0000126204,E
0000126206,C1
0000126211,C1
0000126235,B → A → C1
0000126236,A
0000126238,A → B
0000126283,C1
0000126293,A → B
0000126295,E
0000126310,C1 → B
0000126337,B → A
0000126356,A → B
0000126363,C1
0000126374,A → C2
0000126387,A → C2
0000126392,A
0000126395,A
0000126399,A
0000126409,D → A
0000126411,C2 → C1 → A
0000126475,A
0000126479,C2
0000126485,C1 → B → C1 → B
0000126507,A
0000126511,B → A
0000126528,B
0000126538,B → C1 → B → C1 → B → D → A → E → A → B → A → B → A → C1 → A → E → A → B → A → C1 → B → A → D → A → B → C1 → A → B
0000126542,B
0000126584,B → C2 → C1 → A → B → A
0000126604,C1
0000126614,C1 → A → C1 → A → C1 → C2 → C1 → A → B → A
0000126628,A → B
0000126630,A → C1
0000126635,A → C1
0000126644,E → D → C1 → A
0000126648,E
0000126649,B → C1
0000126683,A
0000126691,B → C1 → B
0000126701,B → C1 → E
0000126715,C2 → C1 → B → D → C1
0000126733,B
0000126739,B → C1 → B → C1
0000126740,A
0000126744,B → E → B
0000126749,A
0000126769,B → C1 → B → A → B
0000126773,C1
0000126776,C1
0000126798,C1 → B
0000126800,C1 → B → A
0000126839,C2 → B → C1 → D
0000126849,B → E → A → B
0000126855,B
0000126874,C1
0000126886,A
0000126907,A → B
0000126910,B → C1 → A
0000126916,C1 → C2 → C1
0000126931,E → A
0000126934,D → B → C1 → A → B
0000126936,C1
0000126943,D
0000126979,A → C1 → A → C1
0000126981,C1 → B
0000126984,C1 → B → C1 → E
0000126988,C1 → D → C1 → A → B
0000126998,C1
0000127000,C1 → B → A
0000127005,B
0000127010,C1 → A
0000127013,B
0000127022,C1 → B → C1
0000127031,B
0000127036,C1 → A → C2 → A
0000127041,C1 → B → C1 → B → A → C1 → C2 → C1 → A
0000127056,C1 → C2
0000127062,A
0000127071,A
0000127081,A → B → A
0000127082,B → C1 → B → C1 → B → C1
0000127112,A
0000127118,C1
0000127131,C1 → D → E
0000127133,B → C1
0000127135,C1 → E → B → A → C2 → E → B
0000127138,B
0000127158,A → C2 → A → B → C1 → A → B → A
0000127160,C1
0000127184,A → C1
0000127197,A
0000127204,A → C1
0000127216,C2
0000127218,A
0000127224,A → C1
0000127241,C1 → A
0000127264,A
0000127266,C1 → E → A → D
0000127270,C1 → E
0000127274,B → A → B
0000127275,A → C1 → D
0000127276,C1 → B → C1
0000127284,C1 → D → B → A → B → D → C1
0000127289,C1 → E → C1 → A → B
0000127313,A → B
0000127322,A → B → C1
0000127351,D
0000127352,C1 → E → B → A
0000127386,B → C1 → A → C2 → D → C1 → A → C1 → E
0000127398,C1 → B
0000127410,C1 → C2 → B
0000127426,C1 → A
0000127433,B → C1 → D → B → A
0000127435,C1 → B
0000127445,E → C1
0000127455,E
0000127478,C1
0000127480,B → A → B → A → B
0000127483,D → C1
0000127485,C1 → B
0000127486,B
0000127492,A → C1
0000127494,A
0000127511,C1 → C2 → B
0000127514,A
0000127517,C1 → C2 → A → B → C1 → B → C1 → A
0000127521,C1 → A
0000127571,C1
0000127588,A → B
0000127603,C1
0000127618,A
0000127654,C2 → C1
0000127682,B → C1
0000127689,A
0000127700,C1 → B → A → B → A
0000127705,B → C1 → D → C1 → D → C1 → A → B → D
0000127715,B → A → B
0000127735,A
0000127753,C1 → A
0000127755,B
0000127756,B
0000127772,C1 → A
0000127775,B → C2
0000127784,A
0000127821,C1 → A → B
0000127829,B
0000127830,C1 → A → E
0000127836,B
0000127856,E → A
0000127901,A
0000127903,C1 → A
0000127911,C1
0000127916,C1
0000127917,A
0000127920,A
0000127925,A → C1
0000127928,C1 → C2 → B
0000127935,A → B
0000127937,C1 → D → C1
0000127941,C1 → B → C1 → A → D → C1
0000127948,B → A
0000127956,C1 → D → C1 → B → C1 → B
0000127966,D → C1
0000127994,A
0000127998,B
0000128011,B → C1 → A → C1 → B → C2
0000128019,B → A → C1 → A → C1 → B → C1
0000128029,C1
0000128030,E → C2 → B → C1 → E
0000128041,C1 → A → E → C1 → A → B → A → B → A
0000128050,C1
0000128055,C1
0000128060,A → D → C1
0000128063,C1 → B → A → C1 → A
0000128067,C2 → B → C1 → A
0000128068,B
0000128072,C1 → C2 → C1 → B → C1 → A → C1 → A → D → C1 → B → A → C1 → B → A → D → A → D → A
0000128111,E → B → A → D → C1
0000128132,B → A
0000128137,A → D → A
0000128142,C1 → B → A → D → A → C1 → A → C1 → A → C1
0000128147,C1 → B → C1 → B
0000128150,E
0000128153,C1
0000128161,C1
0000128195,C1
0000128206,C1
0000128236,C1 → A → C1 → B → A → B
0000128246,C1 → A → C1 → B → C1 → A → B
0000128265,B
0000128284,A → C2
0000128290,B → A
0000128292,B → C1
0000128298,C1 → B
0000128299,B → A → C1
0000128305,B
0000128323,A
0000128354,B → A → C1 → B
0000128361,C1 → E → B
0000128379,C1 → A
0000128380,E → C1 → A
0000128389,B
0000128399,E → C1 → A
0000128414,C1
0000128431,D
0000128443,C1
0000128448,B
0000128458,A → C1 → A
0000128471,C2 → C1
0000128488,B → C1 → B
0000128489,A → B
0000128517,A
0000128536,C1 → A → E → A → B → C1 → A → C1
0000128574,C1
0000128578,B → C1 → A → B → C1
0000128604,A
0000128605,A
0000128618,C1
0000128627,B → C2
0000128636,C1 → B
0000128660,C1 → C2
0000128666,B
0000128680,C1
0000128684,C1
0000128743,D → C1
0000128745,C2 → C1
0000128756,A
0000128766,C2
0000128773,B → C1 → D → C1 → B → A → B → C1
0000128775,C2
0000128785,B → A → C1
0000128801,A → D
0000128805,B → A
0000128810,C1 → B → A
0000128825,C1
0000128829,C1 → D → B
0000128837,C1
0000128849,C1 → B
0000128851,C1
0000128853,B → C1
0000128892,A
0000128893,A
0000128894,C1 → A
0000128907,D → E → D → C1 → B → C2 → C1 → B → E → A → C1
0000128916,A
0000128924,C1 → B → C1
0000128928,A → C1
0000128931,C1 → B
0000128950,A → C1 → E
0000128977,C1
0000129014,C1
0000129020,B → C1
0000129028,B
0000129031,A
0000129046,A
0000129054,C1
0000129057,C1 → A → B → C1 → D → C1
0000129090,A
0000129095,A → C1 → E → C1 → A → C1
0000129097,A
0000129117,C1 → D
0000129132,E
0000129138,A → B
0000129139,B → A
0000129141,C1
0000129150,A → B
0000129173,C2
0000129192,B → C1
0000129194,A
0000129211,A → D → A
0000129214,A → C1
0000129217,B → A → B → E
0000129223,B
0000129249,B → C2 → B → A → C2 → B → C1 → B → C1 → B
0000129250,C1
0000129278,C1 → D → B
0000129302,A
0000129307,A
0000129310,D
0000129312,B → C1
0000129320,B → D → C1
0000129322,A → C2
0000129325,B → A
0000129334,A
0000129362,A
0000129368,B → D
0000129400,C1 → A
0000129404,E
0000129414,C1 → E → C1 → C2 → B
0000129422,A → C1 → A → C1 → B → C2 → B → A
0000129435,B → C1 → C2
0000129457,C1 → A
0000129461,B
0000129475,B
0000129483,C1 → B
0000129493,C1 → B
0000129498,C1
0000129517,C1 → A → C1
0000129532,C1 → B
0000129533,A
0000129542,A
0000129543,B → C1 → B → C1 → B → A → E
0000129551,C1
0000129556,C1
0000129559,B → C1 → B
0000129576,A → C1 → B
0000129587,B → A
0000129588,C1
0000129597,A
0000129607,B
0000129610,C1 → B
0000129615,C2
0000129623,C1
0000129627,A → D → A
0000129628,C1 → C2
0000129636,E → A → C1 → B
0000129653,A → E → B
0000129660,B
0000129709,C1 → A
0000129722,C1
0000129723,C1
0000129727,C1
0000129738,D
0000129746,C1
0000129750,D
0000129751,C1 → B → E → C1
0000129783,A → D → C1
0000129788,C1 → B
0000129793,C1
0000129808,C1
0000129824,C1
0000129830,D → C1 → B
0000129846,D → A → B → A
0000129848,C1
0000129857,A
0000129874,C1
0000129877,A → B → A
0000129898,D
0000129925,A → C1 → A
0000129938,A → B → A
0000129941,A
0000129965,C1 → D → C2 → A → C1 → D → B
0000129992,C1 → B
0000130032,B
0000130034,C1 → B → A → B → C1
0000130047,B → C1
0000130051,B
0000130058,C1 → B
0000130068,B
0000130071,C1
0000130073,A
0000130092,B
0000130099,E → C1
0000130110,C1 → B → C1
0000130118,B → C2 → C1
0000130146,E
0000130159,C1 → B → C2 → A → B
0000130160,C1
0000130164,C1
0000130210,A
0000130213,C1 → B → A
0000130237,B
0000130246,A → C1
0000130283,A → C1 → E
0000130304,A
0000130314,A → C1
0000130321,C1 → B → C2
0000130355,E
0000130382,A → C1 → B → C1
0000130397,C1
0000130404,C1 → A
0000130411,A → C1
0000130450,B
0000130459,E
0000130474,C1 → D → C2
0000130479,C1
0000130494,B → A
0000130502,C1 → E → C2 → B
0000130513,B
0000130533,A → E
0000130535,B
0000130554,B
0000130562,B
0000130567,B → C1
0000130590,C1 → B
0000130612,C1 → A → C1
0000130634,C1
0000130636,C1
0000130640,A
0000130657,B → D → B
0000130673,A → E
0000130680,C1
0000130692,A
0000130706,A → B
0000130716,C1
0000130723,B
0000130727,B → C1 → B → C2 → A → B
0000130741,C1 → B → C1 → B
0000130748,C2 → A
0000130758,A
0000130765,A → B → C1
0000130773,B
0000130784,A → B
0000130796,B → C2 → A
0000130819,A
0000130834,B
0000130838,B → A → C1
0000130851,B → E → A
0000130867,C1 → B
0000130877,C1
0000130916,C1
0000130920,A → C2 → C1
0000130930,C1 → B → A → B → A → C2 → C1 → B → A → C1 → A → C1 → A
0000130933,A → C1
0000130954,C1 → B
0000130980,B
0000131051,D → A
0000131053,C2 → A → E
0000131061,E
0000131066,A
0000131068,B
0000131079,B
0000131100,A → C1 → A
0000131102,A → B
0000131103,A → C1 → A → C1 → B → A → B
0000131109,C1 → A → C2 → C1 → B
0000131114,E → B → E
0000131118,B → C1
0000131129,B → C1
0000131135,A
0000131139,C1
0000131175,C1
0000131184,A
0000131273,B → C1 → B → C1
0000131400,A → C1
0000131627,C1
0000131656,A
0000131868,D
0000131879,B → C1
0000132066,C1
0000132095,A
0000132215,A
0000132279,C1 → A
0000132554,A
0000132643,B → E → C1
0000132686,C1
0000132754,C1
0000132765,C2 → C1
0000132900,C1
0000133276,A → C1
0000133283,C2 → D → A
0000133363,B
0000133493,B
0000133575,D → B → C1
0000133648,B
0000133783,A
0000133913,A → E → C1
0000133916,E → B → E → D → E
0000134004,A
0000134097,C1
0000134107,B → A
0000134149,B → D → B → C2 → C1 → B → A → C1
0000134257,A → B → A → C1 → A
0000134298,C1 → B
0000134306,A
0000134425,C1
0000134541,C1
0000134584,C2 → A → D → C1
0000134639,A
0000134697,C1
0000134715,C1 → B
0000134766,B → E → A
0000134836,C1
0000134855,C1 → B → C1
0000134862,C1 → A
0000134946,C1
0000134948,A → C1 → D → A
0000134954,C1
0000135067,C2 → A → C1
0000135086,C1
0000135162,C1 → D
0000135181,E → C1 → A
0000135315,B
0000135440,C1
0000135577,A
0000135917,E
0000135981,C1
0000136093,B
0000136098,A → C2
0000136113,B → E → B
0000136151,E → A
0000136185,C1 → A → B
0000136271,B → A
0000136275,A
0000136294,A → B → A
0000136342,A
0000136345,C2 → A → B → A → B
0000136418,B
0000136486,B
0000136540,A → B
0000136547,A
0000136623,C1 → D → B
0000136638,E
0000136676,B
0000136697,C1
0000136776,A → B → A → C1 → B → C1 → D → B
0000136924,B → A → B → C1 → B
0000136932,B
0000137090,B
0000137093,A
0000137104,B
0000137165,C1 → A → C1
0000137180,C1
0000137225,C1 → A
0000137274,A → E
0000137324,B
0000137466,B → C1 → B
0000137467,B
0000137544,C2 → C1
0000137632,C1 → A
0000137646,C1
0000137647,A
0000137732,E → A → C1 → D
0000137935,C1
0000137992,C1 → B
0000137994,B
0000138031,B → A
0000138036,A
0000138063,B
0000138136,A → B → C1 → A → D
0000138316,E
0000138323,A
0000138354,C1
0000138585,D → C1
0000138609,C1 → B
0000138643,A
0000138666,C1
0000138692,C2
0000138764,B → C1
0000138862,B → A → B → A → C1 → A → C2 → C1 → B → C1 → B → C1
0000138937,B
0000138975,C1 → B → C1 → B
0000139014,C1
0000139023,C2 → C1
0000139031,C1
0000139134,A
0000139176,C1
0000139297,A → E
0000139369,A → C1 → B → C1
0000139438,A
0000139466,C1 → B → C1
0000139487,C1
0000139530,C1
0000139537,A
0000139555,B
0000139740,A → B
0000139745,A → C1 → B
0000139841,C1 → A
0000139939,B → A
0000139957,C2 → C1
0000140088,B → C1 → A → B
0000140188,B
0000140269,C1
0000140444,B → C1 → A
0000140470,C1 → B
0000140555,C1 → E → C1
0000140653,A → C2
0000140660,B
0000140794,B → C1
0000140868,A → B → C1
0000140875,C1
0000140925,B → C1 → D
0000141003,C1
0000141041,A
0000141290,B → C1 → A → B
0000141299,C1 → A
0000141300,C1 → A
0000141339,A → B
0000141353,B
0000141391,C1
0000141406,B → C1
0000141541,A
0000141552,C1
0000141559,B → A
0000141711,C1 → B → C1 → D
0000141754,A
0000141837,B
0000141965,C1 → B → A → B → C1 → B
0000141980,B
0000142100,A → B
0000142131,B → A → C2
0000142139,E
0000142173,A
0000142210,A
0000142324,B
0000142333,C1 → D
0000142352,C1
0000142443,C1 → B
0000142542,C1
0000142550,D → E
0000142581,C1
0000142666,B
0000142849,B → A → B
0000143018,B
0000143046,C1 → B → D → A
0000143071,C1 → B → A
0000143156,A → B → A
0000143185,B → D → A
0000143334,C1
0000143476,D
0000143558,A → B → C1 → B → A
0000143632,A
0000143647,C1
0000143703,C2 → D
0000143837,A
0000143998,C1 → A
0000144024,C2
0000144081,E → A → B → A
0000144150,C1 → B
0000144167,B → C1
0000144182,A → B
0000144391,A
0000144480,B
0000144731,C1
0000144925,C1 → A → B
0000145010,A → B
0000145022,E → A
0000145026,A
0000145056,C1 → B → A → C1 → A
0000145099,B → A → C1
0000145148,B → C1 → D
0000145164,C1 → B → C1
0000145190,C1
0000145258,B
0000145289,A → C1
0000145292,A
0000145312,C1 → E → B → A
0000145391,B → C1
0000145623,D → B → C1
0000145645,C1
0000145688,A
0000145702,D
0000145717,B → A
0000145724,C1
0000145872,C1 → E → D
0000145907,D → A → D → C1
0000145918,C1
0000145920,B
0000145932,C1
0000146041,C2 → C1
0000146143,A
0000146218,C2 → C1 → B
0000146222,B → A → C1 → B → C1
0000146383,B → D
0000146388,C1 → A → C1
0000146416,A → B
0000146550,A
0000146568,C1 → C2 → D → C2
0000146614,B → C1 → B
0000146691,C2 → A → D
0000146696,B → A → B
0000146749,C1 → A → C1 → B → A → B
0000146867,B
0000147050,C1 → B → C1 → A
0000147065,A
0000147250,A
0000147373,C1
0000147392,A → B
0000147429,B → C1
0000147483,C1 → D → A → C1
0000147498,C2 → A
0000147620,C1
0000147679,D
0000147826,C1 → B
0000147837,B
0000147854,D → C1 → E → C1
0000147869,B
0000147946,C1 → A → B → C1 → B → C1 → B
0000148006,B → D
0000148025,A
0000148036,C1 → A
0000148319,C1
0000148350,A → C1 → B
0000148425,C1 → A → B
0000148459,D
0000148536,C1 → C2
