path,path_length,last_stage,is_leaf,total_orders,new_customer_orders,repurchase_orders,repurchase_rate,total_amount,avg_amount,final_stages
C1,1,C1,True,7480,1181,6299,84.21122994652407,2468827026.0,330057.08903743315,{'C1': 4614}
B,1,B,True,5870,938,4932,84.02044293015332,1730467398.0,294798.5345826235,{'B': 3725}
A,1,A,True,5593,922,4671,83.51510817092795,1382479994.82,247180.40315036653,{'A': 3572}
D,1,D,True,1111,189,922,82.98829882988299,279534394.44,251606.11560756076,{'D': 688}
E,1,E,True,841,155,686,81.56956004756243,220415214.0,262087.0558858502,{'E': 470}
C2,1,C2,True,741,144,597,80.5668016194332,169969456.2,229378.4834008097,{'C2': 422}
C1 → B,2,B,True,1149,93,1056,91.90600522193212,625592826.0,544467.2114882506,"{'B': 625, 'C1': 9}"
C1 → A,2,A,True,1123,70,1053,93.766696349065,411413048.0,366351.77916295634,"{'A': 602, 'C1': 4}"
A → B,2,B,True,1019,45,974,95.58390578999018,296555024.0,291025.53876349365,"{'B': 593, 'A': 14}"
B → C1,2,C1,True,1010,76,934,92.47524752475248,369450451.0,365792.52574257425,"{'C1': 429, 'B': 17}"
B → A,2,A,True,763,57,706,92.52948885976409,296247547.0,388266.7719528178,"{'A': 430, 'B': 8}"
A → C1,2,C1,True,719,60,659,91.65507649513212,209509536.0,291390.1752433936,"{'C1': 356, 'A': 10}"
C1 → D,2,D,True,251,25,226,90.0398406374502,69109341.0,275336.01992031874,"{'C1': 6, 'D': 112}"
C1 → E,2,E,True,192,17,175,91.14583333333334,40285418.0,209819.88541666666,"{'E': 78, 'C1': 1}"
D → A,2,A,True,152,9,143,94.07894736842105,48682646.0,320280.5657894737,"{'A': 89, 'D': 7}"
C1 → C2,2,C2,True,151,13,138,91.3907284768212,30382821.0,201210.73509933776,"{'C2': 70, 'C1': 5}"
E → C1,2,C1,True,148,18,130,87.83783783783784,41982812.0,283667.64864864864,{'C1': 86}
D → C1,2,C1,True,134,14,120,89.55223880597015,55626906.0,415126.1641791045,"{'C1': 60, 'D': 3}"
B → C2,2,C2,True,132,8,124,93.93939393939394,31829111.0,241129.62878787878,{'C2': 77}
B → D,2,D,True,126,12,114,90.47619047619048,23165798.0,183855.53968253967,"{'D': 68, 'B': 9}"
D → B,2,B,True,115,12,103,89.56521739130436,37912812.0,329676.62608695653,"{'B': 85, 'D': 1}"
C2 → C1,2,C1,True,114,20,94,82.45614035087719,34088911.2,299025.53684210527,"{'C1': 63, 'C2': 2}"
B → E,2,E,True,114,11,103,90.35087719298247,21107623.0,185154.58771929826,"{'E': 50, 'B': 2}"
A → C2,2,C2,True,109,9,100,91.74311926605505,46514781.0,426741.1100917431,"{'C2': 41, 'A': 2}"
A → D,2,D,True,107,12,95,88.78504672897196,24419068.0,228215.58878504674,{'D': 43}
C2 → A,2,A,True,100,7,93,93.0,25518308.0,255183.08,{'A': 51}
E → B,2,B,True,98,12,86,87.75510204081633,18253331.0,186258.47959183675,"{'B': 52, 'E': 17}"
E → A,2,A,True,81,8,73,90.12345679012346,27820094.0,343457.95061728393,"{'A': 40, 'E': 4}"
A → E,2,E,True,67,5,62,92.53731343283582,16354746.0,244100.68656716417,{'E': 52}
C2 → B,2,B,True,53,7,46,86.79245283018868,17998036.0,339585.58490566036,{'B': 38}
C2 → D,2,D,True,36,3,33,91.66666666666666,9479568.0,263321.3333333333,"{'D': 19, 'C2': 11}"
E → C2,2,C2,True,23,2,21,91.30434782608695,27717895.0,1205125.8695652173,{'C2': 8}
E → D,2,D,True,21,3,18,85.71428571428571,6680405.0,318114.5238095238,{'D': 16}
D → E,2,E,True,20,4,16,80.0,9495601.0,474780.05,{'E': 7}
C2 → E,2,E,True,16,2,14,87.5,1409365.0,88085.3125,{'E': 5}
D → C2,2,C2,True,2,0,2,100.0,56944.0,28472.0,{'C2': 1}
B → C1 → B,3,B,True,285,14,271,95.08771929824562,166546966.0,584375.3192982456,"{'B': 142, 'C1': 3}"
C1 → B → C1,3,C1,True,266,11,255,95.86466165413535,74091033.0,278537.7180451128,"{'C1': 179, 'B': 4}"
C1 → A → C1,3,C1,True,259,7,252,97.2972972972973,59708956.0,230536.50965250965,"{'C1': 116, 'A': 3}"
C1 → B → A,3,A,True,197,12,185,93.90862944162437,182182014.0,924781.7969543147,{'A': 111}
A → B → A,3,A,True,193,4,189,97.92746113989638,45247512.0,234443.06735751295,"{'A': 115, 'B': 1}"
B → C1 → A,3,A,True,184,8,176,95.65217391304348,53996022.0,293456.64130434784,{'A': 96}
B → A → B,3,B,True,163,8,155,95.0920245398773,31341702.0,192280.38036809815,"{'A': 9, 'B': 77}"
A → B → C1,3,C1,True,163,3,160,98.15950920245399,48186893.0,295625.11042944784,"{'C1': 96, 'B': 1}"
C1 → A → B,3,B,True,146,8,138,94.52054794520548,37110151.0,254179.11643835617,{'B': 49}
A → C1 → A,3,A,True,146,6,140,95.8904109589041,34659947.0,237396.89726027398,{'A': 78}
B → A → C1,3,C1,True,123,9,114,92.6829268292683,111246753.0,904445.1463414634,{'C1': 29}
A → C1 → B,3,B,True,120,5,115,95.83333333333334,31135952.0,259466.26666666666,{'B': 83}
C1 → A → E,3,E,True,64,2,62,96.875,154915108.0,2420548.5625,{'E': 20}
B → C1 → D,3,D,True,60,3,57,95.0,19824195.0,330403.25,{'D': 9}
D → C1 → B,3,B,True,57,2,55,96.49122807017544,23250827.0,407909.2456140351,{'B': 49}
C1 → C2 → C1,3,C1,True,51,3,48,94.11764705882352,7138279.0,139966.25490196078,"{'C1': 26, 'C2': 1}"
C1 → E → B,3,B,True,46,2,44,95.65217391304348,12352772.0,268538.52173913043,"{'B': 13, 'E': 2}"
A → B → D,3,D,True,43,0,43,100.0,6975636.0,162224.09302325582,{'D': 6}
D → A → B,3,B,True,43,0,43,100.0,10085475.0,234545.93023255814,{'B': 22}
C1 → D → C2,3,C2,True,43,0,43,100.0,14603054.0,339605.9069767442,"{'D': 6, 'C2': 8}"
A → C1 → E,3,E,True,42,2,40,95.23809523809523,40948594.0,974966.5238095238,"{'E': 12, 'C1': 1}"
C1 → E → C2,3,C2,True,40,0,40,100.0,11683175.0,292079.375,"{'E': 4, 'C2': 1}"
C1 → D → C1,3,C1,True,37,3,34,91.8918918918919,9389129.0,253760.24324324325,{'C1': 16}
A → C2 → A,3,A,True,35,1,34,97.14285714285714,6829886.0,195139.6,{'A': 25}
A → C1 → D,3,D,True,35,1,34,97.14285714285714,3116307.0,89037.34285714285,{'D': 14}
B → E → A,3,A,True,34,2,32,94.11764705882352,6463101.0,190091.20588235295,"{'A': 24, 'E': 1, 'B': 1}"
A → D → C1,3,C1,True,33,2,31,93.93939393939394,6386509.0,193530.57575757575,{'C1': 10}
C1 → D → B,3,B,True,31,1,30,96.7741935483871,6218952.0,200611.35483870967,{'B': 16}
C1 → A → C2,3,C2,True,29,0,29,100.0,3653178.0,125971.6551724138,{'C2': 15}
B → C2 → C1,3,C1,True,27,1,26,96.29629629629629,4300402.0,159274.14814814815,{'C1': 6}
E → A → B,3,B,True,26,2,24,92.3076923076923,7569465.0,291133.26923076925,{'B': 2}
B → D → C1,3,C1,True,24,1,23,95.83333333333334,6662237.0,277593.2083333333,{'C1': 5}
C2 → A → C1,3,C1,True,23,1,22,95.65217391304348,6345387.0,275886.39130434784,{'C1': 15}
C1 → B → D,3,D,True,23,1,22,95.65217391304348,6665539.0,289806.04347826086,{'D': 16}
B → A → C2,3,C2,True,22,1,21,95.45454545454545,13767984.0,625817.4545454546,{'C2': 6}
E → C1 → C2,3,C2,True,20,3,17,85.0,5615269.0,280763.45,{'C2': 11}
E → C1 → A,3,A,True,20,3,17,85.0,6055362.0,302768.1,{'A': 10}
C2 → A → B,3,B,True,20,0,20,100.0,2657866.0,132893.3,"{'B': 7, 'A': 5}"
B → C2 → B,3,B,True,19,1,18,94.73684210526315,1629099.0,85742.05263157895,{'B': 2}
B → D → B,3,B,True,19,2,17,89.47368421052632,4575641.0,240823.2105263158,{'B': 5}
D → B → C1,3,C1,True,19,2,17,89.47368421052632,3564580.0,187609.47368421053,"{'C1': 9, 'B': 2}"
B → C1 → C2,3,C2,True,19,2,17,89.47368421052632,1497236.0,78801.8947368421,{'C2': 6}
E → C1 → B,3,B,True,19,3,16,84.21052631578947,4128875.0,217309.2105263158,{'B': 12}
C1 → A → D,3,D,True,19,1,18,94.73684210526315,4640649.0,244244.68421052632,{'D': 13}
C1 → B → E,3,E,True,18,1,17,94.44444444444444,4727512.0,262639.55555555556,{'E': 2}
B → C1 → E,3,E,True,16,1,15,93.75,3543953.0,221497.0625,{'E': 4}
C1 → E → C1,3,C1,True,16,3,13,81.25,2215371.0,138460.6875,{'C1': 6}
A → D → A,3,A,True,16,2,14,87.5,3249236.0,203077.25,"{'A': 11, 'D': 2}"
A → D → B,3,B,True,15,1,14,93.33333333333333,2471237.0,164749.13333333333,{'B': 5}
C2 → C1 → B,3,B,True,15,3,12,80.0,3579783.0,238652.2,{'B': 7}
B → E → B,3,B,True,14,2,12,85.71428571428571,3350804.0,239343.14285714287,{'B': 7}
B → E → C1,3,C1,True,14,0,14,100.0,5152580.0,368041.4285714286,{'C1': 14}
B → A → D,3,D,True,14,0,14,100.0,6615957.0,472568.35714285716,{'D': 12}
C1 → D → A,3,A,True,13,0,13,100.0,11473959.0,882612.2307692308,{'A': 7}
C2 → C1 → A,3,A,True,13,1,12,92.3076923076923,2657060.0,204389.23076923078,{'A': 4}
A → C2 → C1,3,C1,True,13,2,11,84.61538461538461,3030499.0,233115.3076923077,{'C1': 10}
C2 → B → C1,3,C1,True,12,0,12,100.0,1643968.0,136997.33333333334,{'C1': 4}
C2 → C1 → D,3,D,True,12,2,10,83.33333333333334,8802096.0,733508.0,"{'D': 8, 'C1': 4}"
C1 → C2 → B,3,B,True,11,2,9,81.81818181818183,2732320.0,248392.72727272726,{'B': 6}
C1 → B → C2,3,C2,True,11,0,11,100.0,3521375.0,320125.0,{'C2': 6}
C1 → C2 → A,3,A,True,10,0,10,100.0,2637870.0,263787.0,{'A': 8}
E → B → A,3,A,True,10,2,8,80.0,3206021.0,320602.1,{'A': 5}
E → B → E,3,E,True,10,2,8,80.0,2566369.0,256636.9,{'E': 5}
A → C2 → B,3,B,True,10,0,10,100.0,1789655.0,178965.5,{'B': 2}
A → C1 → C2,3,C2,True,10,0,10,100.0,990422.0,99042.2,{'C2': 3}
E → B → C1,3,C1,True,9,1,8,88.88888888888889,1407961.0,156440.11111111112,{'C1': 5}
C1 → D → E,3,E,True,9,1,8,88.88888888888889,1161655.0,129072.77777777778,{'E': 2}
B → C2 → A,3,A,True,9,1,8,88.88888888888889,4969548.0,552172.0,{'A': 9}
C1 → E → A,3,A,True,9,2,7,77.77777777777779,1611339.0,179037.66666666666,{'A': 9}
C2 → C1 → E,3,E,True,9,0,9,100.0,367700.0,40855.555555555555,{'E': 8}
D → C1 → A,3,A,True,9,0,9,100.0,1310308.0,145589.77777777778,{'A': 5}
D → A → C1,3,C1,True,8,0,8,100.0,6165425.0,770678.125,{'C1': 4}
A → E → C1,3,C1,True,8,0,8,100.0,930080.0,116260.0,{'C1': 2}
A → C2 → E,3,E,True,8,0,8,100.0,6405708.0,800713.5,{'E': 2}
C2 → E → A,3,A,True,8,0,8,100.0,1113840.0,139230.0,{'A': 2}
E → A → C1,3,C1,True,7,1,6,85.71428571428571,13126254.0,1875179.142857143,{'C1': 5}
B → D → A,3,A,True,6,0,6,100.0,295450.0,49241.666666666664,{'A': 6}
E → D → C1,3,C1,True,5,0,5,100.0,246640.0,49328.0,{'C1': 5}
D → C1 → E,3,E,True,5,1,4,80.0,3196802.0,639360.4,{'E': 5}
A → B → E,3,E,True,5,0,5,100.0,1333120.0,266624.0,{'E': 1}
C2 → D → B,3,B,True,5,1,4,80.0,232900.0,46580.0,{'B': 3}
C1 → C2 → D,3,D,True,4,0,4,100.0,150005.0,37501.25,{'D': 1}
E → A → C2,3,C2,True,4,1,3,75.0,411590.0,102897.5,{'C2': 1}
B → A → E,3,E,True,3,0,3,100.0,271520.0,90506.66666666667,{'E': 2}
D → A → E,3,E,True,3,0,3,100.0,426000.0,142000.0,{'E': 3}
A → E → B,3,B,True,2,0,2,100.0,6163900.0,3081950.0,"{'E': 1, 'B': 1}"
C2 → D → A,3,A,True,1,0,1,100.0,49280.0,49280.0,{'A': 1}
D → C2 → D,3,D,True,1,0,1,100.0,56944.0,56944.0,{'D': 1}
C1 → A → C1 → B,4,B,True,94,1,93,98.93617021276596,24999515.0,265952.28723404254,{'B': 19}
B → C1 → B → C1,4,C1,True,84,4,80,95.23809523809523,55928845.0,665819.5833333334,{'C1': 14}
B → A → C1 → B,4,B,True,73,2,71,97.26027397260275,39656025.0,543233.2191780822,{'B': 28}
C1 → B → A → B,4,B,True,58,2,56,96.55172413793103,33632730.0,579874.6551724138,{'B': 27}
A → B → A → C1,4,C1,True,48,0,48,100.0,5558246.0,115796.79166666667,{'C1': 21}
C1 → A → B → A,4,A,True,45,1,44,97.77777777777777,5684960.0,126332.44444444444,{'A': 10}
B → C1 → A → B,4,B,True,39,1,38,97.43589743589743,15157962.0,388665.6923076923,{'B': 21}
A → C1 → A → C1,4,C1,True,38,0,38,100.0,5148432.0,135485.05263157896,{'C1': 9}
C1 → A → B → C1,4,C1,True,37,2,35,94.5945945945946,17260723.0,466506.02702702704,{'C1': 16}
B → A → B → C1,4,C1,True,37,1,36,97.2972972972973,5434366.0,146874.75675675675,"{'C1': 14, 'B': 2}"
C1 → B → C1 → B,4,B,True,33,1,32,96.96969696969697,11859392.0,359375.51515151514,{'B': 17}
A → B → C1 → B,4,B,True,33,1,32,96.96969696969697,7450145.0,225761.9696969697,{'B': 1}
A → B → C1 → A,4,A,True,31,1,30,96.7741935483871,11801327.0,380687.96774193546,{'A': 8}
A → B → D → B,4,B,True,31,0,31,100.0,5330961.0,171966.48387096773,{'B': 21}
B → C1 → B → A,4,A,True,30,1,29,96.66666666666667,15728133.0,524271.1,{'A': 10}
C1 → A → C1 → A,4,A,True,29,1,28,96.55172413793103,3965825.0,136752.58620689655,{'A': 12}
B → C1 → A → C1,4,C1,True,29,1,28,96.55172413793103,18498783.0,637889.0689655172,{'C1': 13}
C1 → D → C2 → A,4,A,True,29,0,29,100.0,11903988.0,410482.3448275862,{'A': 1}
A → C1 → A → B,4,B,True,28,2,26,92.85714285714286,7445448.0,265908.85714285716,"{'B': 5, 'C1': 1, 'A': 1}"
C1 → E → B → C1,4,C1,True,27,0,27,100.0,5699178.0,211080.66666666666,{'C1': 27}
B → C1 → B → C2,4,C2,True,24,1,23,95.83333333333334,11460597.0,477524.875,"{'B': 2, 'C2': 3}"
A → B → A → B,4,B,True,24,1,23,95.83333333333334,1616512.0,67354.66666666667,{'B': 9}
A → C1 → E → C1,4,C1,True,23,0,23,100.0,38421128.0,1670483.8260869565,{'C1': 3}
E → A → B → A,4,A,True,22,1,21,95.45454545454545,6868037.0,312183.5,{'A': 22}
B → A → B → A,4,A,True,21,1,20,95.23809523809523,7706970.0,366998.5714285714,{'A': 4}
B → A → C1 → A,4,A,True,21,2,19,90.47619047619048,20729326.0,987110.7619047619,{'A': 15}
A → C1 → B → A,4,A,True,20,0,20,100.0,9185775.0,459288.75,{'A': 11}
D → A → B → A,4,A,True,19,0,19,100.0,7130190.0,375273.15789473685,{'A': 19}
C1 → B → C1 → D,4,D,True,19,1,18,94.73684210526315,3348777.0,176251.42105263157,{'D': 17}
B → D → C1 → B,4,B,True,19,0,19,100.0,3835506.0,201868.73684210525,{'B': 19}
B → C2 → B → A,4,A,True,17,1,16,94.11764705882352,1587099.0,93358.76470588235,{'A': 3}
C1 → A → E → B,4,B,True,17,0,17,100.0,130360321.0,7668254.176470588,{'B': 3}
C1 → A → C1 → E,4,E,True,17,0,17,100.0,5770336.0,339431.5294117647,{'E': 9}
C1 → B → E → C1,4,C1,True,16,0,16,100.0,4052312.0,253269.5,{'C1': 2}
C1 → E → C2 → B,4,B,True,16,0,16,100.0,5093416.0,318338.5,{'B': 16}
B → C2 → C1 → B,4,B,True,15,0,15,100.0,2821905.0,188127.0,{'B': 15}
C1 → B → C1 → C2,4,C2,True,13,0,13,100.0,2522143.0,194011.0,{'C2': 2}
C1 → C2 → C1 → A,4,A,True,12,0,12,100.0,2399099.0,199924.91666666666,{'A': 6}
B → C1 → E → B,4,B,True,12,0,12,100.0,2984383.0,248698.58333333334,{'B': 12}
A → C1 → B → C1,4,C1,True,12,0,12,100.0,2072223.0,172685.25,{'C1': 10}
D → E → D → C1,4,C1,True,11,1,10,90.9090909090909,9036086.0,821462.3636363636,{'C1': 4}
B → C1 → A → D,4,D,True,11,0,11,100.0,1108900.0,100809.09090909091,{'D': 10}
B → D → B → C1,4,C1,True,10,1,9,90.0,2665430.0,266543.0,{'C1': 3}
C1 → B → C1 → A,4,A,True,10,0,10,100.0,3483557.0,348355.7,{'A': 3}
D → B → E → D,4,D,True,10,1,9,90.0,2519908.0,251990.8,"{'B': 1, 'E': 1, 'D': 8}"
A → D → B → C1,4,C1,True,10,0,10,100.0,2028737.0,202873.7,{'C1': 5}
A → D → C1 → E,4,E,True,10,0,10,100.0,3956302.0,395630.2,{'E': 3}
E → C1 → A → B,4,B,True,10,1,9,90.0,3557661.0,355766.1,{'B': 1}
B → C1 → A → C2,4,C2,True,9,1,8,88.88888888888889,2124802.0,236089.11111111112,{'C2': 2}
C1 → A → C2 → C1,4,C1,True,9,0,9,100.0,1293620.0,143735.55555555556,{'C1': 3}
B → A → B → E,4,E,True,9,1,8,88.88888888888889,1817468.0,201940.88888888888,{'E': 9}
